iter	Passed	Remaining
0	233	232906
1	338	169122
2	479	159403
3	591	147284
4	710	141331
5	831	137672
6	954	135339
7	1111	137811
8	1179	129902
9	1294	128148
10	1450	130447
11	1534	126313
12	1654	125591
13	1803	126996
14	1906	125168
15	2026	124655
16	2154	124591
17	2259	123249
18	2383	123072
19	2494	122240
20	2654	123729
21	2759	122671
22	2888	122711
23	2997	121909
24	3155	123055
25	3281	122930
26	3405	122718
27	3535	122727
28	3621	121262
29	3735	120797
30	3865	120819
31	3961	119836
32	4086	119752
33	4206	119505
34	4314	118968
35	4413	118180
36	4523	117738
37	4613	116805
38	4733	116649
39	4859	116630
40	4975	116383
41	5097	116280
42	5215	116072
43	5340	116043
44	5471	116126
45	5607	116284
46	5730	116185
47	5841	115849
48	5949	115463
49	6069	115316
50	6189	115172
51	6296	114795
52	6405	114447
53	6536	114509
54	6654	114341
55	6776	114224
56	6871	113678
57	6993	113581
58	7101	113254
59	7203	112856
60	7301	112401
61	7431	112437
62	7548	112267
63	7680	112325
64	7782	111941
65	7893	111704
66	7995	111344
67	8112	111191
68	8224	110971
69	8353	110979
70	8484	111014
71	8597	110818
72	8709	110595
73	8808	110222
74	8909	109883
75	8999	109416
76	9109	109195
77	9220	108985
78	9330	108779
79	9435	108509
80	9548	108328
81	9669	108251
82	9773	107982
83	9905	108021
84	10021	107874
85	10131	107678886	10233	107397887	10355	107324888	10460	107073889	10569	106874990	10686	106745991	10780	106402992	10885	106167993	11021	106228994	11108	105826995	11240	105846996	11336	105533997	11433	105238998	11576	105356999	11682	1051431100	11791	1049541101	11885	1046391102	12005	1045531103	12107	1043091104	12209	1040741105	12324	1039441106	12449	1039021107	12542	1035901108	12651	1034181109	12762	1032561110	12924	1035141111	13024	1032681112	13132	1030811113	13227	1028061114	13349	1027311115	13461	1025871116	13585	1025331117	13686	1023011118	13819	1023121119	13928	1021431120	14041	1020041121	14168	1019631122	14278	1018081123	14394	1016881124	14519	1016341125	14626	1014551126	14739	1013221127	14852	101179
128	14965	101045
129	15045	1006871130	15153	1005113131	15256	1003132132	15357	100133	133	15446	13134	134	15545	13135	135	15658	13136	136	15775	13137	137	15903	13138	138	16016	13139	16128	990714140	140	16250	99141	141	16360	98142	142	16480	98143	143	16595	98144	144	16713	98145	145	16834	98146	146	16147	16147	147	17050	98148	148	17149	17149	149	17150	17150	150	17151	15151	17524	977615152	17672	978315153	17801	977915154	17912	976415155	18051	976615156	18175	975815157	18320	976315158	18430	974815159	18550	973816160	18662	972516161	18795	972216162	18892	970116163	19036	970416164	19130	968116165	19260	967616166	19418	968516167	19538	967616168	19656	966516169	19785	965917170	19904	964917171	20028	964117172	20141	962817173	20257	961617174	20396	961517175	20505	960017176	20621	958817177	20769	95914
178	20906	95887
179	20982	95585
180	21076	953618181	21205	953018182	21318	951718183	21439	950718184	21557	94969
185	21694	94944
186	21809	94817
187	21910	94634
188	22019	94486
189	22160	94474
190	22266	94312
191	22392	94235
192	22487	193	22193	22614	194	22194	22727	195	22195	22829	196	22196	22919	197	22197	23039	198	23198	23148	199	23199	23257	200	23200	23393	201	23201	23506	92861
202	23641	92819
203	23773	92764
204	23873	92583
205	23993	92480
206	24123	92416
207	24244	92315
208	24373	92247
209	24497	92155
210	24598	91980
211	24712	212	24212	24815	213	24213	24932	214	24214	25079	91569
215	25217	91529
216	25339	91430
217	25466	91350
218	25581	91230
219	25710	91155
220	25810	90979
221	25926	90857
222	26042	90740
223	26171	90666
224	26284	90535
225	26419	90481
226	26541	90380
227	26644	90217
228	26747	90053
229	26909	90088
230	27042	90025
231	27168	89935
232	27273	89781
233	27382	89636
234	27474	89439
235	27601	89354
236	27716	89229
237	27840	89136
238	27949	88994
239	28062	88863
240	28165	88704
241	28288	88606
242	28409	88500
243	28545	88444
244	28659	88318
245	28771	88187
246	28906	88123
247	29033	88035
248	29153	87928
249	29251	87755
250	29365	87628
251	29480	87507
252	29609	87423
253	29763	87416
254	29870	87268
255	29997	87181
256	30150	87165
257	30279	87082
258	30450	87118
259	30606	87110
260	30729	87007
261	30859	86925
262	30984	86827
263	31117	86751
264	31232	86626
265	31381	86593
266	31499	86475
267	31619	86363
268	31749	86277
269	31864	86152
270	31999	86078
271	32123	85978
272	32238	85850
273	32366	85759
274	32485	85642
275	32619	85566
276	32758	85503
277	32889	85416
278	33024	85343
279	33163	85278
280	33298	85200
281	33425	85104
282	33564	85037
283	33679	84909
284	33798	84793
285	33900	84632
286	33999	84465
287	34132	84382
288	34247	84255
289	34348	84093
290	34454	83945
291	34557	83790
292	34690	83708
293	34809	83590
294	34934	83488
295	35046	83354
296	35156	83215
297	35270	83085
298	35385	82961
299	35485	82799
300	35587	82644
301	35709	82534
302	35815	82386
303	35948	82302
304	36069	82191
305	36188	82075
306	36289	81917
307	36416	81819
308	36550	81735
309	36652	81580
310	36762	81444
311	36880	81326
312	37011	81236
313	37110	81075
314	37218	80934
315	37329	80802
316	37458	80707
317	37573	80582
318	37708	80499
319	37813	80354
320	37915	80200
321	38027	80071
322	38124	79908
323	38242	79790
324	38367	79687
325	38503	79604
326	38625	79495
327	38717	79323
328	38826	79186
329	38977	79137
330	39080	78987
331	39198	78868
332	39314	78746
333	39420	78605
334	39534	78479
335	39673	78402
336	39778	78258
337	39891	78130
338	39995	77986
339	40118	77877
340	40224	77736
341	40333	77600
342	40435	77451
343	40538	77306
344	40655	77186
345	40780	77082
346	40891	76950
347	40986	76790
348	41113	76690
349	41255	76616
350	41366	76487
351	41493	76386
352	41597	76241
353	41711	76117
354	41807	75961
355	41921	75834
356	42036	75712
357	42148	75585
358	42247	75433
359	42355	75298
360	42470	75176
361	42582	75047
362	42687	74908
363	42801	74785
364	42916	74662
365	43033	74544
366	43155	74433
367	43279	74328
368	43402	74219
369	43517	74097
370	43631	73973
371	43740	73842
372	43857	73722
373	43990	73631
374	44096	73494
375	44207	73364
376	44317	73235
377	44424	73101
378	44543	72986
379	44650	72850
380	44745	72696
381	44844	72549
382	44940	72397
383	45051	72270
384	45178	72168
385	45283	72031
386	45399	71912
387	45525	71808
388	45649	71701
389	45750	71558
390	45874	71452
391	45966	71294
392	46067	71152
393	46190	71043
394	46312	70934
395	46418	70799
396	46527	70670
397	46649	70559
398	46753	70423
399	46863	70295
400	46965	70155
401	47071	70021
402	47219	69951
403	47337	69834
404	47483	69759
405	47623	69675
406	47729	69542
407	47837	69411
408	47941	69274
409	48044	69137
410	48161	69020
411	48299	68931
412	48418	68817
413	48534	68698
414	48658	68591
415	48788	68491
416	48915	68387
417	49045	68287
418	49161	68168
419	49279	68052
420	49411	67955
